year,effort_no,Treatment,length_cm,weight_kg,girth_mm
2019,1,4.00 in,67,3.16,345
2019,1,4.00 in,64,5.3,340
2019,1,4.00 in,63,4.2,290
2019,1,4.00 in,66,3.45,325
2019,1,4.00 in,61,2.8000000000000003,310
2019,1,4.00 in,68,5.3,365
2019,1,4.00 in,61,3.2,306
2019,1,4.00 in,61,3.8000000000000003,320
2019,1,4.00 in,58,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,4.00 in,63,NA,NA
2019,1,4.00 in,61,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,4.00 in,63,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,4.00 in,64,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,4.00 in,64,NA,NA
2019,1,4.00 in,61,NA,NA
2019,1,4.00 in,64,NA,NA
2019,1,4.00 in,57,NA,NA
2019,1,4.00 in,60,NA,NA
2019,1,4.00 in,60,NA,NA
2019,1,4.00 in,57,NA,NA
2019,1,3.75 in,58,2.3000000000000003,305
2019,1,3.75 in,67,3.56,340
2019,1,3.75 in,60,2.48,310
2019,1,3.75 in,65,NA,NA
2019,1,3.75 in,67,NA,NA
2019,1,3.75 in,62,NA,NA
2019,1,3.75 in,67,NA,NA
2019,1,3.75 in,62,NA,NA
2019,1,3.75 in,51,NA,NA
2019,1,3.75 in,61,NA,NA
2019,1,3.75 in,56,NA,NA
2019,1,3.50 in,63,NA,NA
2019,1,3.50 in,63,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,65,NA,NA
2019,1,3.50 in,64,NA,NA
2019,1,3.50 in,67,NA,NA
2019,1,3.50 in,63,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,57,NA,NA
2019,1,3.50 in,66,NA,NA
2019,1,3.50 in,58,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,63,NA,NA
2019,1,3.50 in,64,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,66,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,68,NA,NA
2019,1,Control,65,NA,NA
2019,1,Control,65,NA,NA
2019,1,Control,58,2.34,310
2019,1,Control,70,3.85,370
2019,1,Control,59,2.25,300
2019,1,Control,69,NA,NA
2019,1,Control,58,2.3000000000000003,310
2019,1,Control,68,NA,NA
2019,1,Control,64,NA,NA
2019,1,Control,57,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,65,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,63,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,57,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,60,NA,NA
2019,1,Control,53,1.6600000000000001,260
2019,1,Control,81,5.42,365
2019,1,4.00 in,60,NA,NA
2019,1,4.00 in,69,NA,NA
2019,1,4.00 in,62,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,4.00 in,61,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,4.00 in,60,NA,NA
2019,1,4.00 in,66,NA,NA
2019,1,4.00 in,63,NA,NA
2019,1,4.00 in,63,NA,NA
2019,1,4.00 in,54,2.1,270
2019,1,4.00 in,67,NA,NA
2019,1,4.00 in,62,NA,NA
2019,1,4.00 in,57,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,4.00 in,60,NA,NA
2019,1,4.00 in,49,1.35,235
2019,1,4.00 in,61,NA,NA
2019,1,3.75 in,55,1.85,290
2019,1,3.75 in,56,NA,NA
2019,1,3.75 in,64,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,62,NA,NA
2019,1,3.75 in,65,NA,NA
2019,1,3.75 in,58,NA,NA
2019,1,3.75 in,65,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,58,NA,NA
2019,1,3.75 in,61,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,63,NA,NA
2019,1,3.50 in,65,NA,NA
2019,1,3.50 in,63,NA,NA
2019,1,3.50 in,63,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,63,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,67,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,67,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,68,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,63,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,Control,62,NA,NA
2019,1,Control,60,NA,NA
2019,1,Control,65,NA,NA
2019,1,Control,63,NA,NA
2019,1,Control,53,1.81,275
2019,1,Control,65,NA,NA
2019,1,Control,58,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,61,NA,NA
2019,1,Control,57,NA,NA
2019,1,Control,57,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,60,NA,NA
2019,1,Control,61,NA,NA
2019,1,Control,63,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,3.75 in,59,NA,NA
2019,1,3.75 in,66,NA,NA
2019,1,3.75 in,60,NA,NA
2019,1,3.75 in,64,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,66,NA,NA
2019,1,3.75 in,59,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,NA,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,57,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,Control,68,NA,NA
2019,1,Control,79,4.34,390
2019,1,Control,59,NA,NA
2019,1,Control,53,1.58,260
2019,1,Control,75,3.86,350
2019,1,Control,57,NA,NA
2019,1,Control,65,NA,NA
2019,1,Control,61,NA,NA
2019,1,Control,57,NA,NA
2019,1,Control,58,NA,NA
2019,1,Control,64,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,58,NA,NA
2019,1,Control,70,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,64,NA,NA
2019,1,Control,58,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,49,1.48,230
2019,1,Control,47,1.22,220
2019,1,4.00 in,67,NA,NA
2019,1,4.00 in,61,NA,NA
2019,1,4.00 in,57,NA,NA
2019,1,4.00 in,62,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,4.00 in,57,NA,NA
2019,1,4.00 in,67,NA,NA
2019,1,4.00 in,57,NA,NA
2019,1,4.00 in,58,NA,NA
2019,1,4.00 in,53,NA,NA
2019,1,4.00 in,82,5.34,450
2019,1,3.75 in,59,NA,NA
2019,1,3.75 in,55,NA,NA
2019,1,3.75 in,60,NA,NA
2019,1,3.75 in,61,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,55,NA,NA
2019,1,3.50 in,57,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,62,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,53,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,74,4.67,385
2019,1,Control,55,NA,NA
2019,1,Control,65,NA,NA
2019,1,Control,66,NA,NA
2019,1,Control,49,1.24,240
2019,1,Control,70,NA,NA
2019,1,Control,62,NA,NA
2019,1,Control,64,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,60,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,62,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,64,NA,NA
2019,1,4.00 in,65,NA,NA
2019,1,4.00 in,60,NA,NA
2019,1,4.00 in,62,NA,NA
2019,1,4.00 in,72,NA,NA
2019,1,4.00 in,62,NA,NA
2019,1,3.75 in,67,NA,NA
2019,1,3.75 in,66,NA,NA
2019,1,3.75 in,63,NA,NA
2019,1,3.75 in,61,NA,NA
2019,1,3.75 in,59,NA,NA
2019,1,3.75 in,63,NA,NA
2019,1,3.75 in,58,NA,NA
2019,1,3.75 in,76,NA,NA
2019,1,Control,64,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,71,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,71,NA,NA
2019,1,Control,49,1.22,230
2019,1,Control,73,NA,NA
2019,1,4.00 in,55,NA,NA
2019,1,4.00 in,55,NA,NA
2019,1,4.00 in,63,NA,NA
2019,1,3.75 in,61,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,58,NA,NA
2019,1,3.50 in,57,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,50,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,58,NA,NA
2019,1,3.50 in,51,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,58,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,Control,49,NA,NA
2019,1,Control,49,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,62,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,49,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,57,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,58,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,49,NA,NA
2019,1,Control,48,NA,NA
2019,1,Control,67,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,49,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,47,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,49,NA,NA
2019,1,Control,49,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,49,NA,NA
2019,1,4.00 in,50,NA,NA
2019,1,4.00 in,67,NA,NA
2019,1,4.00 in,47,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,4.00 in,60,NA,NA
2019,1,4.00 in,52,NA,NA
2019,1,3.75 in,59,NA,NA
2019,1,3.75 in,67,NA,NA
2019,1,3.75 in,56,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,60,NA,NA
2019,1,3.75 in,53,NA,NA
2019,1,3.75 in,59,NA,NA
2019,1,3.50 in,49,NA,NA
2019,1,3.50 in,68,NA,NA
2019,1,Control,49,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,61,NA,NA
2019,1,Control,72,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,58,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,57,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,57,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,61,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,63,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,49,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,52,NA,NA
2019,1,4.00 in,68,NA,NA
2019,1,4.00 in,62,NA,NA
2019,1,4.00 in,61,NA,NA
2019,1,3.75 in,54,NA,NA
2019,1,3.75 in,60,NA,NA
2019,1,3.75 in,54,NA,NA
2019,1,3.75 in,59,NA,NA
2019,1,3.75 in,55,NA,NA
2019,1,3.75 in,59,NA,NA
2019,1,3.75 in,49,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,48,NA,NA
2019,1,3.75 in,54,NA,NA
2019,1,3.75 in,54,NA,NA
2019,1,3.75 in,49,NA,NA
2019,1,3.75 in,54,NA,NA
2019,1,3.75 in,51,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,49,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,58,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,47,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,62,NA,NA
2019,1,Control,49,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,48,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,56,NA,NA
2019,1,4.00 in,59,NA,NA
2019,1,4.00 in,54,NA,NA
2019,1,4.00 in,54,NA,NA
2019,1,4.00 in,56,NA,NA
2019,1,4.00 in,52,NA,NA
2019,1,4.00 in,55,NA,NA
2019,1,4.00 in,50,NA,NA
2019,1,4.00 in,51,NA,NA
2019,1,4.00 in,51,NA,NA
2019,1,3.75 in,60,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,62,NA,NA
2019,1,3.75 in,63,NA,NA
2019,1,3.75 in,61,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,58,NA,NA
2019,1,3.75 in,55,NA,NA
2019,1,3.75 in,55,NA,NA
2019,1,3.50 in,58,NA,NA
2019,1,3.50 in,51,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,51,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,51,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,3.50 in,50,NA,NA
2019,1,3.50 in,53,NA,NA
2019,1,3.50 in,53,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,50,NA,NA
2019,1,3.50 in,51,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,57,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,57,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,58,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,58,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,57,NA,NA
2019,1,Control,62,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,61,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,61,NA,NA
2019,1,Control,48,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,51,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,50,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,53,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,54,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,50,NA,NA
2019,1,4.00 in,53,NA,NA
2019,1,4.00 in,58,NA,NA
2019,1,4.00 in,53,NA,NA
2019,1,4.00 in,50,NA,NA
2019,1,4.00 in,54,NA,NA
2019,1,3.75 in,47,NA,NA
2019,1,3.75 in,70,NA,NA
2019,1,3.75 in,58,NA,NA
2019,1,3.75 in,69,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,74,NA,NA
2019,1,3.75 in,59,NA,NA
2019,1,3.75 in,52,NA,NA
2019,1,3.75 in,57,NA,NA
2019,1,3.75 in,58,NA,NA
2019,1,3.75 in,55,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,58,NA,NA
2019,1,3.50 in,70,NA,NA
2019,1,3.50 in,58,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,3.50 in,65,NA,NA
2019,1,3.50 in,56,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,3.50 in,63,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,3.50 in,59,NA,NA
2019,1,3.50 in,57,NA,NA
2019,1,3.50 in,57,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,3.50 in,53,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,53,NA,NA
2019,1,3.50 in,53,NA,NA
2019,1,3.50 in,61,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,57,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,64,NA,NA
2019,1,3.50 in,52,NA,NA
2019,1,3.50 in,60,NA,NA
2019,1,3.50 in,67,NA,NA
2019,1,3.50 in,49,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,3.50 in,57,NA,NA
2019,1,3.50 in,50,NA,NA
2019,1,3.50 in,51,NA,NA
2019,1,3.50 in,51,NA,NA
2019,1,3.50 in,55,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,3.50 in,50,NA,NA
2019,1,3.50 in,54,NA,NA
2019,1,Control,55,NA,NA
2019,1,Control,56,NA,NA
2019,1,Control,52,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,69,NA,NA
2019,1,Control,59,NA,NA
2019,1,Control,71,NA,NA
2019,1,Control,51,NA,NA
2019,1,NA,55,NA,NA
2019,1,NA,65,NA,NA
2019,1,NA,56,NA,NA
2019,1,NA,61,NA,NA
2019,1,NA,48,NA,NA
2019,1,NA,49,NA,NA
2019,1,NA,59,NA,NA
2019,1,NA,52,1.42,250
2019,1,NA,63,2.72,310
2019,1,NA,65,2.64,NA
2019,1,NA,69,3.24,NA
2019,2,Control,65,2.99,310
2019,2,Control,58,1.71,280
2019,2,Control,66,NA,NA
2019,2,Control,59,NA,NA
2019,2,Control,57,NA,NA
2019,2,Control,51,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,57,NA,NA
2019,2,Control,53,NA,NA
2019,2,Control,57,NA,NA
2019,2,Control,43,NA,NA
2019,2,Control,49,NA,NA
2019,2,Control,59,NA,NA
2019,2,Control,59,NA,NA
2019,2,Control,48,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,49,NA,NA
2019,2,Control,54,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,54,NA,NA
2019,2,Control,49,NA,NA
2019,2,Control,49,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,47,NA,NA
2019,2,Control,57,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,48,NA,NA
2019,2,Control,44,NA,NA
2019,2,3.50 in,74,3.67,330
2019,2,3.50 in,58,2.07,280
2019,2,3.50 in,56,1.73,260
2019,2,3.50 in,60,NA,NA
2019,2,3.50 in,68,NA,NA
2019,2,3.50 in,74,NA,NA
2019,2,3.50 in,59,NA,NA
2019,2,3.50 in,51,NA,NA
2019,2,3.50 in,68,NA,NA
2019,2,3.50 in,58,NA,NA
2019,2,3.50 in,56,NA,NA
2019,2,3.50 in,65,NA,NA
2019,2,3.50 in,58,NA,NA
2019,2,3.50 in,55,NA,NA
2019,2,3.50 in,56,NA,NA
2019,2,3.50 in,53,NA,NA
2019,2,3.75 in,59,2.44,320
2019,2,3.75 in,55,1.73,260
2019,2,3.75 in,51,1.34,240
2019,2,3.75 in,50,NA,NA
2019,2,3.75 in,61,NA,NA
2019,2,3.75 in,52,NA,NA
2019,2,3.75 in,54,NA,NA
2019,2,4.00 in,60,2.3000000000000003,290
2019,2,4.00 in,69,3.48,330
2019,2,4.00 in,54,NA,NA
2019,2,4.00 in,65,NA,NA
2019,2,4.00 in,62,NA,NA
2019,2,Control,61,2.64,300
2019,2,Control,63,NA,NA
2019,2,Control,53,NA,NA
2019,2,Control,50,1.1400000000000001,215
2019,2,Control,53,NA,NA
2019,2,Control,61,NA,NA
2019,2,Control,53,NA,NA
2019,2,Control,48,NA,NA
2019,2,Control,53,NA,NA
2019,2,Control,50,NA,NA
2019,2,Control,50,NA,NA
2019,2,Control,60,NA,NA
2019,2,Control,49,NA,NA
2019,2,Control,55,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,49,NA,NA
2019,2,Control,55,NA,NA
2019,2,Control,50,NA,NA
2019,2,3.50 in,54,1.69,260
2019,2,3.50 in,59,NA,NA
2019,2,3.50 in,63,2.57,300
2019,2,3.50 in,52,1.75,271
2019,2,3.50 in,58,NA,NA
2019,2,3.50 in,56,NA,NA
2019,2,3.50 in,54,NA,NA
2019,2,3.50 in,54,NA,NA
2019,2,3.50 in,54,NA,NA
2019,2,3.50 in,53,NA,NA
2019,2,3.75 in,53,NA,NA
2019,2,3.75 in,52,NA,NA
2019,2,3.75 in,67,3.33,330
2019,2,3.75 in,53,NA,NA
2019,2,3.75 in,53,NA,NA
2019,2,3.75 in,68,NA,NA
2019,2,3.75 in,56,NA,NA
2019,2,3.75 in,54,NA,NA
2019,2,3.75 in,50,NA,NA
2019,2,3.75 in,52,NA,NA
2019,2,4.00 in,50,NA,NA
2019,2,4.00 in,57,NA,NA
2019,2,4.00 in,49,1.1500000000000001,230
2019,2,4.00 in,62,2.57,290
2019,2,4.00 in,55,NA,NA
2019,2,4.00 in,47,1.05,225
2019,2,4.00 in,54,NA,NA
2019,2,4.00 in,48,NA,NA
2019,2,Control,50,NA,NA
2019,2,Control,66,NA,NA
2019,2,Control,51,NA,NA
2019,2,Control,64,NA,NA
2019,2,Control,60,NA,NA
2019,2,Control,54,NA,NA
2019,2,Control,50,NA,NA
2019,2,Control,47,1.31,240
2019,2,Control,49,1.29,230
2019,2,Control,62,2.21,283
2019,2,Control,65,NA,NA
2019,2,Control,49,1.1500000000000001,220
2019,2,Control,69,3.4,325
2019,2,Control,57,NA,NA
2019,2,Control,53,NA,NA
2019,2,Control,50,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,57,NA,NA
2019,2,Control,53,NA,NA
2019,2,Control,67,3.44,340
2019,2,Control,48,NA,NA
2019,2,Control,50,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,48,NA,NA
2019,2,Control,56,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,60,NA,NA
2019,2,Control,57,NA,NA
2019,2,Control,54,NA,NA
2019,2,Control,49,NA,NA
2019,2,Control,48,NA,NA
2019,2,Control,51,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,50,NA,NA
2019,2,Control,56,NA,NA
2019,2,Control,50,NA,NA
2019,2,Control,47,NA,NA
2019,2,Control,56,NA,NA
2019,2,Control,51,NA,NA
2019,2,Control,46,NA,NA
2019,2,3.50 in,53,NA,NA
2019,2,3.50 in,60,NA,NA
2019,2,3.50 in,57,NA,NA
2019,2,3.50 in,53,NA,NA
2019,2,3.50 in,56,NA,NA
2019,2,3.50 in,50,NA,NA
2019,2,3.50 in,60,NA,NA
2019,2,3.50 in,53,NA,NA
2019,2,3.50 in,49,NA,NA
2019,2,3.50 in,46,NA,NA
2019,2,3.75 in,65,NA,NA
2019,2,3.75 in,50,NA,NA
2019,2,3.75 in,52,NA,NA
2019,2,3.75 in,58,NA,NA
2019,2,3.75 in,55,NA,NA
2019,2,3.75 in,62,NA,NA
2019,2,3.75 in,62,NA,NA
2019,2,3.75 in,61,NA,NA
2019,2,3.75 in,60,NA,NA
2019,2,3.75 in,62,NA,NA
2019,2,3.75 in,54,NA,NA
2019,2,3.75 in,67,NA,NA
2019,2,3.75 in,55,NA,NA
2019,2,3.75 in,52,NA,NA
2019,2,3.75 in,56,NA,NA
2019,2,3.75 in,50,NA,NA
2019,2,3.75 in,50,NA,NA
2019,2,4.00 in,61,NA,NA
2019,2,4.00 in,68,2.85,295
2019,2,4.00 in,59,NA,NA
2019,2,4.00 in,60,NA,NA
2019,2,4.00 in,56,NA,NA
2019,2,4.00 in,57,NA,NA
2019,2,4.00 in,53,NA,NA
2019,2,4.00 in,59,NA,NA
2019,2,4.00 in,59,NA,NA
2019,2,4.00 in,60,NA,NA
2019,2,4.00 in,52,NA,NA
2019,2,Control,75,4.25,350
2019,2,Control,68,NA,NA
2019,2,Control,55,NA,NA
2019,2,Control,61,NA,NA
2019,2,Control,56,NA,NA
2019,2,Control,53,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,59,NA,NA
2019,2,Control,65,NA,NA
2019,2,Control,64,NA,NA
2019,2,Control,50,NA,NA
2019,2,Control,54,NA,NA
2019,2,Control,49,NA,NA
2019,2,Control,59,NA,NA
2019,2,Control,56,NA,NA
2019,2,Control,52,NA,NA
2019,2,Control,51,NA,NA
2019,2,Control,46,NA,NA
2019,2,Control,55,NA,NA
2019,2,Control,49,NA,NA
2019,2,Control,55,NA,NA
2019,2,Control,50,NA,NA
2019,2,Control,46,NA,NA
2019,2,3.50 in,58,NA,NA
2019,2,3.50 in,57,NA,NA
2019,2,3.50 in,62,NA,NA
2019,2,3.50 in,51,NA,NA
2019,2,3.50 in,53,NA,NA
2019,2,3.50 in,63,NA,NA
2019,2,3.50 in,55,NA,NA
2019,2,3.50 in,46,NA,NA
2019,2,3.50 in,54,NA,NA
2019,2,3.50 in,52,NA,NA
2019,2,3.50 in,49,NA,NA
2019,2,3.50 in,67,NA,NA
2019,2,3.50 in,59,NA,NA
2019,2,3.50 in,49,NA,NA
2019,2,3.50 in,52,NA,NA
2019,2,3.50 in,52,NA,NA
2019,2,3.50 in,54,NA,NA
